166,75
181,100
71,88
483,66
511,90
139,30
290,118
313,106
403,1.9
753,50
775,99
404,56
842,105
1013,129
993,1
887,76.88
1100,118
1181,40.069
731,37.49
1207,50
1364,88.888
1277,3.2
1536,194
1590,109
1729,87
1942,46.701
1948,8
1954,111
2068,59.95
2083,65
2162,15.99
2163,8.59
2251,83
2311,7.23
2396,55
2476,91
2491,86.91
2510,48.1
2514,7.999
2578,105
2611,99
2674,157.69
2787,90.5
2892,30.5
3037,1.745
3273,81
3278,109.9999
3329,35.3
3376,125
3391,92
3475,98.9
3569,110
3646,3.75
3746,84.8
3771,125
3787,7.9
3816,107
3852,100
4146,82.630625
4233,102
4250,100
4329,120
4497,70.8004
4429,0.45
4547,75
4688,100
4694,43.569
4741,43.99
4755,54.89
4759,90.5
4783,55
4802,29
5071,65
5087,0.27
5149,245
5151,0
5166,1
5171,83.8
5315,65.5
5351,103.103
5373,125
5458,75
5538,52.69
5778,110
5783,115
5816,45
5957,41.69
6095,0
6166,74.5
6320,16
6330,102
6591,2.7
6663,55.01
6740,185
6778,88.88
6794,13.73
6846,126
6891,91
7089,104.8
7104,75
7203,47.9
7354,45
7380,100.99
7521,0.61
7533,1.6
7594,3.98
7683,0.029
7699,97
7798,0.41
7898,86
8005,125
8028,103.6969
8065,120
8166,138.69
8167,46.702
8207,51
8214,41
8255,2
8239,93.91
8302,140
8373,78
8405,35
8484,75
8599,87.7334
8829,71
8858,92.9
8911,24.88
8992,144.32
9012,77
9038,75
9237,6.9
9266,53
9416,49
9425,70.8003
9481,30
9483,71.68
9546,106.69
9618,107
9646,114.92
9672,120
9753,49
9816,3.8
9882,75
9915,53
9917,50